UNITID,SAT_AVG,C100_4,PCIP52,PCIP24,PCIP50,PCIP11,PCIP47,PCIP39,PCIP43,PCIP15,PCIP13,PCIP09,PCIP51,PCIP12,FAMINC,WDRAW_ORIG_YR4_RT
157207,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
157216,NULL,0.1532,0.0793,0.0088,0.011,0.0088,0,0.011,0.0573,0,0.0396,0.0661,0.0485,0,38630.74165,0.241007194
157270,NULL,NULL,0,0,0.1694,0.4839,0,0,0,0.3468,0,0,0,0,36460.2962,0.477911647
157289,1159,0.2549,0.1182,0.011,0.0462,0,0,0,0.0648,0,0.0851,0.0858,0.0937,0,65785.83297,0.237277744
157298,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
157304,NULL,NULL,0.1261,0.1164,0,0.0647,0.0032,0,0.0275,0.0679,0,0,0.502,0,29951.95952,0.315625
157331,NULL,NULL,0.1509,0.0745,0,0.0236,0.1311,0,0.0043,0.0093,0,0,0.272,0.0217,23688.06427,0.426242869
157377,NULL,0.4,0.2186,0,0,0.0064,0,0,0.1125,0,0.1222,0,0.3344,0,41257.455,0.301587302
157386,1047,0.2025,0.1195,0.1466,0.0414,0.0135,0,0,0,0.0376,0.0872,0.0376,0.1902,0,47809.08479,0.254882324
157401,1069,0.2412,0.132,0.0895,0.0399,0.0327,0,0,0.0131,0.0699,0.0993,0.0654,0.1562,0,56687.24909,0.235
157438,NULL,NULL,0.111,0.073,0.0018,0.0231,0.143,0,0.0356,0.0582,0.019,0,0.2558,0.0077,31505.94967,0.475639464
157447,1068,0.1576,0.247,0.0294,0.0644,0.0709,0,0,0.0381,0.0454,0.0601,0.0835,0.1172,0,59803.52218,0.279130153
157456,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,1,19500.71429,PrivacySuppressed
157465,NULL,NULL,0.0606,0,0,0,0,0,0.0303,0,0,0,0.9091,0,20138.05371,0.390639924
157483,NULL,NULL,0.1178,0.1371,0.0016,0.0413,0.108,0,0.0098,0.0029,0,0,0.3163,0.0376,25380.08715,0.353741497
157508,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,1,13177.91489,PrivacySuppressed
157535,965,0.2171,0.1833,0,0.0208,0.0042,0,0,0.0875,0,0.0458,0.1042,0.1333,0,36048.96181,0.181663837
157553,NULL,NULL,0.1582,0.1588,0.0115,0.0312,0.1339,0,0.0266,0.0693,0,0,0.1588,0.0058,20422.09441,0.451298701
157599,NULL,0,0.1364,0,0.0199,0.0369,0.0114,0,0.0966,0.0398,0,0,0.6335,0,22351.90148,0.408890765
157614,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,1,23650.46007,0.105032823
157632,948,0.1905,0.2119,0.0927,0.0265,0,0,0,0.0596,0,0.0132,0,0.4305,0,56734.84026,0.244525547
157650,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,1,20123.52811,0.172826087
157669,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,1,21321.26675,0.094368341
157678,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,1,21775.84703,0.177734375
157696,NULL,NULL,0.1102,0,0,0.0508,0,0,0.0847,0.0085,0,0,0.7458,0,22351.90148,0.408890765
157711,NULL,NULL,0.1012,0.1196,0.004,0.0672,0.1605,0,0.0206,0.0213,0.0022,0,0.2989,0.0257,23492.5402,0.49684874
157739,NULL,NULL,0.0322,0.2969,0,0.0254,0.1133,0,0.04,0.0137,0,0,0.3271,0.0049,20653.82571,0.419254658
157748,1059,0.2652,0,0.0986,0,0,0,0.8592,0,0,0.0423,0,0,0,NULL,NULL
157757,970,0.0617,0.1556,0.0037,0.0148,0,0,0,0,0,0.0333,0.0519,0.4852,0,51182.28777,0.222222222
157766,NULL,NULL,0.027,0,0,0,0,0,0,0,0,0,0.9568,0,30488.66788,0.434599156
157793,NULL,NULL,0.4608,0.0254,0,0.0731,0,0,0.0424,0.0477,0.018,0,0.1038,0.1801,31488.6713,0.50891182
157809,1016,0.3355,0.4367,0.0467,0.0233,0.0033,0,0,0.0367,0,0.0333,0.02,0.0733,0,69211.49064,0.221606648
